slug,category,tags,detected_topics,ctas_rendered_count,cta_labels,cta_urls,uses_missing_route,meaningful_ctas,recommended_ctas,jurisdiction_assumptions,notes
uk-landlord-associations-guide,Resources,landlord associations; NRLA; landlord support; membership benefits; UK landlords,General,4,Ask Heaven; Tenancy Agreement Generator; UK Eviction Guide; View All Products,/ask-heaven; /products/ast; /how-to-evict-tenant; /pricing,N,3,None needed,UK-Wide,Good coverage
uk-tenant-retention-guide,Property Management,tenant retention; reduce turnover; landlord tips; rental income; UK landlords,General,4,Ask Heaven; Tenancy Agreement Generator; UK Eviction Guide; View All Products,/ask-heaven; /products/ast; /how-to-evict-tenant; /pricing,N,3,None needed,UK-Wide,Good coverage
uk-right-to-rent-guide,Legal,right to rent; immigration checks; landlord compliance; document verification; UK landlords,General,2,Ask About Right to Rent; View All Products,/ask-heaven; /pricing,N,1,Add more context-specific CTAs,UK-Wide,Limited CTA coverage
uk-smoke-co-alarm-regulations-guide,Compliance,smoke alarms; carbon monoxide; fire safety; landlord compliance; UK landlords,Compliance,2,Ask About Fire Safety; View All Products,/ask-heaven; /pricing,N,1,Add more context-specific CTAs,UK-Wide,Limited CTA coverage
uk-electrical-safety-guide,Compliance,electrical safety; EICR; landlord compliance; electrical testing; UK landlords,Compliance,2,Ask About EICR Rules; View All Products,/ask-heaven; /pricing,N,1,Add more context-specific CTAs,UK-Wide,Limited CTA coverage
uk-furnished-unfurnished-letting-guide,Property Management,furnished letting; unfurnished rental; rental options; landlord decisions; UK landlords,General,4,Ask Heaven; Tenancy Agreement Generator; UK Eviction Guide; View All Products,/ask-heaven; /products/ast; /how-to-evict-tenant; /pricing,N,3,None needed,UK-Wide,Good coverage
uk-hmo-management-guide,Property Management,HMO; house share; HMO licensing; HMO management; UK landlords,HMO,2,Ask About HMO Rules; View All Products,/ask-heaven; /pricing,N,1,Add more context-specific CTAs,UK-Wide,Limited CTA coverage
uk-student-letting-guide,Landlord Guides,student letting; student accommodation; student tenants; university rentals; UK landlords,General,4,Ask Heaven; Tenancy Agreement Generator; UK Eviction Guide; View All Products,/ask-heaven; /products/ast; /how-to-evict-tenant; /pricing,N,3,None needed,UK-Wide,Good coverage
uk-holiday-let-regulations-guide,Landlord Guides,holiday let; short-term rental; Airbnb regulations; planning permission; UK landlords,General,4,Ask Heaven; Tenancy Agreement Generator; UK Eviction Guide; View All Products,/ask-heaven; /products/ast; /how-to-evict-tenant; /pricing,N,3,None needed,UK-Wide,Good coverage
uk-corporate-letting-guide,Landlord Guides,corporate letting; company tenants; serviced accommodation; relocation; UK landlords,General,4,Ask Heaven; Tenancy Agreement Generator; UK Eviction Guide; View All Products,/ask-heaven; /products/ast; /how-to-evict-tenant; /pricing,N,3,None needed,UK-Wide,Good coverage
uk-property-portfolio-growth-guide,Landlord Guides,property portfolio; portfolio growth; property investment; landlord strategy; wealth building,General,4,Ask Heaven; Tenancy Agreement Generator; UK Eviction Guide; View All Products,/ask-heaven; /products/ast; /how-to-evict-tenant; /pricing,N,3,None needed,UK-Wide,Good coverage
